cntr_01,dist_x,pang_x,count_01,source_01,ra_01,dec_01,velo_01,date_obs_01,tsys_01,int_01,rms1_01,vlo1_01,vhi1_01,ra,dec,sigra,sigdec,w1mpro,w1sigmpro,w1snr,w2mpro,w2sigmpro,w2snr,w3mpro,w3sigmpro,w3snr,w4mpro,w4sigmpro,w4snr
4060,0.427276,136.225033,5253,SDSSJ15594+5212,239.8587,52.20989,12700,2016.458,56.9,9,6.3,11333,14079,239.858834,52.2098043,0.0374,0.037,12.585,0.023,48.2,12.344,0.022,49.5,9.75,0.032,34.2,7.722,0.094,11.5
4061,0.282595,65.782691,5256,160000+273721,240.0035,27.62261,9637,2008.277,51.4,10,4.8,8207,11080,240.0035808,27.6226422,0.0379,0.0371,12.244,0.023,47.3,12.167,0.022,48.6,9.062,0.029,37.5,7.137,0.112,9.7
4062,0.434729,-156.929268,5257,160010+273618,240.0445,27.60514,9895,2008.038,35.7,10,3.1,8463,11340,240.0444466,27.6050289,0.0422,0.0411,12.962,0.024,45.0,12.802,0.025,43.6,9.445,0.038,28.6,6.828,0.08,13.6
4063,1.046391,113.994719,5258,CGCG250-034,240.0459,46.78419,6081,2010.2,28.5,10,2.7,4684,7491,240.0462878,46.7840718,0.0482,0.0485,14.213,0.026,41.9,13.977,0.031,35.6,10.131,0.039,28.1,7.284,0.074,14.7
4064,0.143282,-0.277097,5259,CGCG108-038,240.0743,15.75658,4996,2015.052,43.0,34,2.6,3609,6396,240.0742998,15.7566198,0.0381,0.0361,11.906,0.021,50.7,11.889,0.022,48.8,9.482,0.039,28.0,6.907,0.086,12.7
4065,0.516462,-117.7961,5262,UGC-10127,240.0999,20.84914,4823,2006.988,65.6,5,8.8,3437,6221,240.0997642,20.8490731,0.0336,0.0316,11.083,0.022,49.3,10.975,0.02,53.3,7.51,0.019,55.8,5.089,0.037,29.0
4066,0.323179,-57.374581,5263,SDSSJ16008+4628,240.2143,46.48139,12900,2016.358,40.8,9,4.0,11531,14281,240.2141902,46.4814384,0.0451,0.0446,13.534,0.024,45.2,13.307,0.026,41.6,11.438,0.108,10.1,9.315,,0.7
4067,1.636042,98.822216,5264,160107+165024,240.279,16.84014,11302,2008.246,40.5,10,3.5,9857,12760,240.2794692,16.8400703,0.0749,0.0574,13.244,0.038,28.8,13.225,0.042,25.7,10.527,0.098,11.1,8.116,0.39,2.8
4068,0.225021,-150.125712,5265,NGC6028,240.3707,19.35989,4475,2006.988,75.1,5,11.1,3093,5870,240.370667,19.3598358,0.0379,0.036,10.85,0.023,46.8,10.921,0.02,53.3,9.764,0.042,25.7,8.394,0.239,4.5
4069,0.341547,100.690798,5266,160151+161411,240.4639,16.23636,10586,2008.246,42.2,10,3.7,9148,12037,240.4639971,16.2363424,0.0441,0.0433,12.632,0.024,44.5,12.621,0.026,42.1,9.936,0.056,19.5,8.003,0.205,5.3
4070,2.553497,-150.805302,5267,NGC6030,240.4642,17.95747,4445,2005.844,58.3,5,8.1,4306,7106,240.4638363,17.9568508,0.052,0.0761,11.111,0.033,33.3,11.189,0.035,31.0,10.625,0.117,9.3,8.605,,-0.1
4071,1.046358,-131.186546,5268,SDSSJ16018+0248,240.4646,2.80281,9900,2016.191,46.2,10,4.3,8557,11255,240.464381,2.8026186,0.0366,0.0366,12.455,0.024,45.7,12.005,0.024,46.0,8.33,0.022,48.8,5.54,0.038,28.5
