cntr_01,dist_x,pang_x,count_01,source_01,ra_01,dec_01,velo_01,date_obs_01,tsys_01,int_01,rms1_01,vlo1_01,vhi1_01,ra,dec,sigra,sigdec,w1mpro,w1sigmpro,w1snr,w2mpro,w2sigmpro,w2snr,w3mpro,w3sigmpro,w3snr,w4mpro,w4sigmpro,w4snr
714,0.4256,-154.047148,865,025900-064537,44.75071,-6.76044,8693,2006.18,44.4,10,4.2,7272,10127,44.7506579,-6.7605463,0.0338,0.0325,11.845,0.022,49.6,11.416,0.021,51.4,8.296,0.02,55.3,5.71,0.034,31.6
715,1.638499,-62.522634,866,UGC02454,44.82487,7.3045,7620,2003.288,37.2,21,2.3,6209,9044,44.8244629,7.30471,0.4684,0.6141,17.179,0.187,5.8,16.513,0.329,3.3,11.944,,0.3,8.173,,1.7
716,0.363618,62.204768,867,025930-242254,44.87704,-24.38167,10636,2009.141,46.2,10,39.7,9197,12088,44.8771381,-24.3816229,0.0328,0.0321,11.612,0.023,47.2,11.03,0.021,52.5,7.978,0.018,59.6,5.573,0.036,29.9
717,0.510105,176.988246,870,UGC02456,44.99412,36.82064,3605,2005.169,31.3,32,1.6,3256,6037,44.9941293,36.8204985,0.0303,0.0293,9.617,0.023,47.1,8.81,0.019,56.1,4.764,0.016,65.8,1.656,0.016,68.7
718,0.918959,164.099871,875,MCG-02.08.038,45.01792,-10.82436,9900,2016.202,59.6,10,6.1,8557,11255,45.0179912,-10.8246055,0.0317,0.0305,10.378,0.022,48.4,9.589,0.02,55.5,7.226,0.017,62.6,4.867,0.033,33.4
719,0.230093,-160.638475,876,RXSJ03000+1630,45.03337,16.50406,10493,2016.202,33.2,10,3.4,9145,11853,45.0333479,16.5039997,0.0339,0.0325,11.287,0.022,50.1,10.588,0.021,52.2,7.863,0.022,50.3,5.622,0.049,22.3
720,0.603032,110.659752,877,0258-1136,45.12746,-11.41578,8989,2003.916,59.2,40,2.8,7565,10426,45.1276199,-11.4158391,0.029,0.0285,11.286,0.022,48.7,10.334,0.02,54.9,5.936,0.014,75.6,3.399,0.021,51.7
721,0.424367,94.427498,878,IRAS02580-1136,45.1275,-11.41583,8962,2013.224,41.9,15,3.5,7538,10399,45.1276199,-11.4158391,0.029,0.0285,11.286,0.022,48.7,10.334,0.02,54.9,5.936,0.014,75.6,3.399,0.021,51.7
722,0.655416,74.05968,879,NGC1159,45.19383,43.16258,2633,2010.082,36.3,10,3.5,1267,4011,45.19407,43.16263,0.0329,0.0323,11.706,0.023,48.1,11.593,0.021,51.3,7.681,0.018,60.5,5.203,0.034,32.1
723,1.772472,38.596884,880,NGC1161,45.30879,44.89736,1940,2005.971,49.0,5,6.0,580,3312,45.3092236,44.8977448,0.0317,0.0348,8.711,0.023,48.0,8.707,0.022,49.7,6.893,0.019,57.9,5.332,0.043,25.2
724,1.369833,-131.533491,882,NGC1167,45.42675,35.20586,4945,2013.224,37.3,15,3.3,3558,6344,45.4264014,35.2056077,0.0345,0.0325,10.016,0.021,50.6,10.038,0.019,56.0,8.967,0.028,39.2,7.015,0.082,13.2
725,4.642189,-33.29741,885,J030144-003533,45.43508,35.20578,9450,2014.082,63.7,8,7.4,8022,10891,45.4342136,35.2068578,0.0542,0.0513,13.205,0.025,43.4,13.196,0.033,33.3,11.168,0.147,7.4,8.66,0.462,2.3
726,0.131791,-161.914813,886,UGC-2491,45.47433,35.73322,4875,2006.055,32.2,5,4.5,3489,6274,45.474316,35.7331852,0.034,0.0327,11.082,0.022,48.5,11.053,0.021,52.7,7.978,0.02,55.1,6.031,0.048,22.5
727,0.028419,15.692548,887,NGC1164,45.49933,42.58494,4175,2006.055,32.2,5,4.3,2795,5567,45.4993329,42.5849476,0.0302,0.0291,10.344,0.022,50.3,10.22,0.019,56.7,6.701,0.015,72.3,4.484,0.032,34.0
728,0.264716,-48.939624,888,GSC6438_00439,45.55496,-23.58886,10500,2016.355,67.5,8,7.7,9152,11860,45.5548995,-23.5888117,0.0343,0.0332,10.872,0.022,49.1,10.689,0.02,54.5,8.847,0.024,45.0,6.839,0.064,17.1
729,0.734838,123.076018,889,UGC02496,45.63971,46.43844,6780,2004.06,29.1,20,1.9,6427,9266,45.6399582,46.4383286,0.0705,0.081,13.462,0.034,32.3,13.372,0.039,27.5,10.671,0.114,9.5,7.986,,1.3
730,0.357246,-23.068507,890,NGC1187,45.65667,-22.86719,1396,2005.971,63.1,5,8.6,41,2763,45.6566278,-22.8670987,0.029,0.0285,10.057,0.022,49.0,9.738,0.02,55.1,5.314,0.015,74.5,2.338,0.019,57.7
731,0.116645,110.222278,891,3C_76.1,45.81254,16.43861,9740,2004.149,41.3,20,2.8,8309,11184,45.8125717,16.4385988,0.0408,0.0379,11.974,0.022,50.1,11.946,0.023,46.8,10.591,0.1,10.8,8.066,0.251,4.3
732,0.375278,-81.337769,892,NGC1169,45.89479,46.38636,2387,2006.077,56.6,5,7.3,1023,3763,45.8946406,46.3863757,0.0387,0.0366,9.791,0.023,46.3,9.781,0.02,53.2,9.109,0.039,27.7,7.753,0.239,4.5
733,0.115705,-79.422222,935,NGC1194-V,45.95463,-1.10372,4750,2008.119,48.7,10,28.0,5011,5098,45.9545984,-1.1037141,0.0287,0.0274,9.695,0.022,49.3,8.388,0.02,53.5,5.413,0.013,81.1,3.008,0.018,59.7
734,0.143052,-127.336379,914,030349-010613,45.95463,-1.10369,4081,2008.28,39.7,10,3.6,2702,5472,45.9545984,-1.1037141,0.0287,0.0274,9.695,0.022,49.3,8.388,0.02,53.5,5.413,0.013,81.1,3.008,0.018,59.7
738,0.774964,10.735531,951,030420-065946,46.08717,-6.99633,2098,2006.18,48.6,20,3.1,737,3471,46.0872104,-6.9961185,0.0766,0.0762,14.988,0.032,34.2,14.839,0.059,18.3,12.543,0.381,2.9,9.373,,-0.5
739,0.474198,72.504342,954,NGC1204,46.16625,-12.34139,4282,2012.96,46.7,6,6.1,2901,5675,46.1663786,-12.3413504,0.0295,0.0282,10.225,0.023,47.1,9.845,0.019,56.2,5.59,0.015,74.5,2.662,0.018,59.1
740,0.578014,-82.736486,955,J030509+010536,46.28762,1.09356,6947,2014.082,65.9,9,7.8,5542,8365,46.2874607,1.0935803,0.038,0.037,12.113,0.023,46.9,12.072,0.022,48.3,8.761,0.028,38.3,6.862,0.091,12.0
741,0.328657,25.35421,956,030510-010431,46.29417,-1.07553,13490,2006.169,37.8,10,3.5,12024,14969,46.2942091,-1.0754475,0.0401,0.0374,12.241,0.022,48.7,12.106,0.022,48.9,10.131,0.063,17.2,8.454,0.322,3.4
742,0.600591,89.656484,957,NGC1186,46.37854,42.83547,2658,2006.055,32.2,5,4.3,1292,4036,46.3787675,42.835471,0.0327,0.0333,10.442,0.025,42.9,10.216,0.023,47.9,6.516,0.016,69.9,3.423,0.021,50.6
743,0.536533,-27.663912,958,UGC-2526,46.43054,36.78619,4996,2006.055,32.2,5,4.4,3609,6396,46.4304536,36.786322,0.036,0.0364,10.294,0.022,49.9,10.29,0.022,49.2,7.966,0.025,43.3,5.788,0.05,21.8
744,0.310169,70.47182,959,03062019+421500,46.58417,42.25,5326,2010.858,43.2,10,3.8,3936,6729,46.5842797,42.2500288,0.0365,0.0356,11.736,0.023,47.2,11.58,0.021,51.0,8.812,0.027,39.7,6.18,0.052,20.9
745,1.52014,-134.754224,960,030631-083806,46.63192,-8.63511,10492,2006.18,48.6,10,4.7,9054,11943,46.6316167,-8.6354073,0.0554,0.0468,13.143,0.027,39.8,12.869,0.029,37.1,10.233,0.059,18.3,8.024,0.228,4.8
748,2.055516,17.009578,963,NGC1229,47.04496,-22.96078,10900,2003.899,41.6,40,5.0,9459,12355,47.0451414,-22.960234,0.0294,0.0289,11.298,0.023,48.2,10.172,0.021,52.6,6.134,0.015,74.4,2.973,0.019,56.6
749,0.222566,-124.368107,964,NGC1207,47.06454,38.38217,4787,2006.055,32.3,5,4.2,3402,6185,47.0644749,38.3821351,0.0325,0.0328,10.571,0.025,44.2,10.431,0.021,50.8,6.774,0.016,67.4,4.236,0.027,40.4
750,1.001861,-110.464673,965,MRK1069,47.07925,-13.90294,1562,2009.996,40.8,10,3.7,206,2930,47.0789814,-13.9030373,0.0327,0.0317,11.767,0.023,47.8,11.592,0.022,50.2,7.856,0.018,62.0,4.555,0.024,44.3
751,0.407862,58.260359,967,NGC1218,47.10921,4.11086,8590,2016.178,41.8,10,4.4,7258,9933,47.1093066,4.1109196,0.0339,0.0321,9.942,0.022,49.9,9.82,0.02,55.6,8.552,0.025,44.0,6.553,0.079,13.7
752,0.407862,58.260359,966,3C78,47.10921,4.11086,8590,2004.297,40.3,24,2.5,7170,10023,47.1093066,4.1109196,0.0339,0.0321,9.942,0.022,49.9,9.82,0.02,55.6,8.552,0.025,44.0,6.553,0.079,13.7
754,5.282681,-77.912186,969,IC-1895,47.40254,-25.25389,3823,2009.108,49.3,5,6.7,2446,5212,47.4009535,-25.2535827,0.0363,0.0346,10.699,0.023,46.3,10.669,0.021,52.5,9.278,0.028,39.1,6.847,0.066,16.5
755,1.61244,-36.012802,970,NGC1232,47.43962,-20.57931,1682,2005.971,60.9,5,8.1,325,3051,47.4393387,-20.5789477,0.0404,0.0385,10.884,0.023,46.7,10.936,0.021,50.6,11.504,0.245,4.4,9.165,,-2.8
756,0.217712,-64.327069,971,031100-082528,47.75325,-8.42456,10492,2006.183,49.4,10,4.5,9054,11943,47.7531949,-8.4245338,0.0413,0.0385,11.855,0.023,47.9,11.913,0.022,48.3,10.676,0.097,11.2,8.295,0.209,5.2
757,1.39793,15.659905,972,NGC1241,47.81083,-8.92222,4030,2005.839,73.2,5,10.3,3892,6684,47.8109361,-8.9218461,0.03,0.0288,10.096,0.022,48.4,9.892,0.019,55.8,6.579,0.015,71.1,3.895,0.024,45.2
758,0.140458,57.261849,973,2MASXJ03111883-,47.82833,-20.77172,19800,2009.063,29.8,10,2.7,18275,21339,47.8283651,-20.7716989,0.0311,0.0306,10.831,0.023,47.3,9.942,0.02,54.2,7.233,0.017,65.5,5.11,0.029,38.0
760,0.319258,111.84592,975,NGC1233,48.13792,39.31892,4465,2006.055,32.1,5,4.2,3082,5860,48.1380264,39.318887,0.0305,0.0295,10.185,0.023,47.7,10.096,0.02,55.6,6.538,0.015,72.7,4.607,0.03,36.2
762,4.966118,-97.858278,977,NGC1256,48.49417,-21.98611,4312,2008.175,46.5,5,6.2,2931,5706,48.4926963,-21.9862986,0.0352,0.0337,10.733,0.023,47.9,10.716,0.019,56.2,9.439,0.031,35.4,7.734,0.112,9.7
763,0.055284,-107.430335,978,UGC-2598,48.53513,41.29211,4523,2006.077,55.5,5,7.5,3140,5918,48.5351105,41.2921054,0.0402,0.0377,11.188,0.024,46.0,11.236,0.022,50.4,10.595,0.092,11.9,8.253,,1.6
764,0.30915,-78.650224,980,UGC-2604,48.66879,39.61753,4522,2006.055,32.1,5,4.4,3139,5917,48.6686807,39.6175469,0.0372,0.0365,12.148,0.024,45.3,12.015,0.025,43.6,7.853,0.02,55.3,5.665,0.04,27.2
765,0.137836,-39.837139,981,031440-064634,48.67054,-6.77625,5396,2006.329,47.3,10,4.6,4005,6799,48.6705153,-6.7762206,0.0423,0.041,12.422,0.024,45.8,12.469,0.023,46.5,10.731,0.094,11.6,8.84,,-0.1
766,0.361311,68.857619,982,IC-304,48.75571,37.88183,4938,2006.055,32.2,5,4.7,3551,6337,48.7558286,37.8818662,0.0319,0.0313,10.9,0.024,45.3,10.788,0.021,52.4,6.947,0.015,72.0,4.964,0.028,38.2
767,0.444484,31.476548,983,MRK1073,48.75588,42.03569,6998,2016.366,39.8,10,4.1,5680,8328,48.7559668,42.0357953,0.0287,0.0276,10.173,0.022,49.8,8.891,0.02,55.0,5.125,0.014,76.1,2.163,0.018,61.8
768,0.476756,80.086362,987,KUG0312+013,48.77213,1.50836,7200,2013.485,51.7,10,5.3,5793,8620,48.7722605,1.5083828,0.0327,0.0319,11.342,0.023,47.7,11.195,0.021,52.1,7.471,0.019,58.1,4.477,0.032,34.0
769,0.402344,153.823744,988,2MASXJ031526+16,48.86167,16.04311,11423,2016.202,32.8,10,3.3,10067,12791,48.8617213,16.0430097,0.0359,0.0344,11.792,0.022,48.6,11.456,0.021,51.8,8.441,0.026,42.4,6.051,0.052,20.7
770,0.852298,144.649723,989,NGC1266,49.00296,-2.42722,2194,2010.364,41.6,10,3.7,832,3568,49.0030971,-2.4274131,0.0297,0.0287,10.418,0.022,48.9,9.774,0.019,55.8,6.254,0.015,70.8,2.648,0.02,54.1
771,0.522588,51.382008,991,J0316+4204,49.00417,42.07428,5358,2015.105,37.9,10,4.0,3967,6761,49.0043228,42.0743706,0.0318,0.03,10.333,0.022,50.1,10.212,0.021,52.9,7.231,0.015,70.6,5.613,0.044,24.6
772,2.295717,33.019548,992,UGC2621,49.11046,41.53056,4747,2003.307,44.5,24,2.7,3362,6144,49.1109242,41.5310947,0.0484,0.0429,12.081,0.024,45.5,12.005,0.025,44.3,11.546,0.263,4.1,8.302,,1.5
773,0.594222,154.433824,993,031641-193411,49.17258,-19.56969,8436,2009.141,42.9,10,4.2,7017,9868,49.1726556,-19.5698389,0.0321,0.0315,11.416,0.022,50.3,11.392,0.02,54.6,8.208,0.018,58.7,6.299,0.049,22.3
774,1.30759,47.689462,994,NGC1257,49.24796,41.52914,4747,2006.928,34.6,5,4.7,3362,6144,49.2483188,41.5293845,0.058,0.0729,13.385,0.033,33.0,13.438,0.041,26.8,12.24,0.422,2.6,8.542,,0.0
775,2.478693,-87.085911,995,UGC2626,49.24996,41.35656,6358,2003.31,50.2,28,3.0,4958,7770,49.2490439,41.356595,0.038,0.0351,10.777,0.022,50.2,10.848,0.02,53.8,10.015,0.055,19.6,8.764,0.461,2.4
776,0.526982,-73.653122,997,UGC02638,49.25917,1.25497,7123,2005.807,54.4,32,3.2,6757,9602,49.2590295,1.2550112,0.0314,0.03,10.14,0.023,47.5,9.256,0.02,54.4,6.297,0.017,65.2,3.971,0.026,42.0
777,0.510188,-97.623159,996,031702+011518,49.25917,1.25503,7128,2010.2,41.0,10,4.0,5721,8548,49.2590295,1.2550112,0.0314,0.03,10.14,0.023,47.5,9.256,0.02,54.4,6.297,0.017,65.2,3.971,0.026,42.0
778,3.918125,163.215363,998,ESO-481-G17,49.26833,-22.86558,3928,2008.175,47.6,5,6.8,2550,5318,49.2686711,-22.866622,0.0318,0.0307,10.651,0.023,46.6,10.671,0.019,56.8,8.002,0.017,62.3,5.773,0.035,30.8
779,0.520617,-76.116655,999,031706-063008,49.27792,-6.50219,4041,2009.138,38.0,10,3.5,2662,5432,49.2777787,-6.5021553,0.0396,0.0373,11.943,0.023,47.8,11.982,0.022,50.0,9.759,0.044,24.4,7.112,0.107,10.2
781,3.76683,-83.243151,1001,UGC2639,49.46146,41.96744,4033,2003.31,50.7,28,2.8,2654,5424,49.4600625,41.9675631,0.0418,0.0389,11.412,0.023,46.3,11.469,0.023,47.8,10.362,0.076,14.4,8.473,0.347,3.1
782,0.622916,56.818238,1002,J031753-071752,49.47258,-7.29783,5254,2013.391,53.5,10,5.8,3864,6656,49.472726,-7.2977353,0.0299,0.0293,11.068,0.022,49.1,10.873,0.02,53.6,6.605,0.015,73.9,4.489,0.023,46.4
783,0.567201,-39.770167,1003,J031755+405535,49.47996,40.92667,5246,2013.425,57.6,9,6.2,3857,6648,49.4798266,40.9267911,0.0393,0.0379,12.036,0.023,46.8,11.966,0.023,48.0,9.155,0.034,32.3,7.778,0.187,5.8
784,0.196547,-137.418162,1004,3C83.1,49.56579,41.85778,7536,2004.299,45.2,32,2.7,6125,8959,49.5657404,41.8577398,0.0354,0.0331,9.495,0.022,49.9,9.506,0.019,56.4,9.084,0.031,34.8,7.936,0.211,5.1
785,1.006953,-95.745035,1005,J031818+414031,49.57496,41.67533,8629,2013.425,59.0,10,6.2,7208,10062,49.5745874,41.675302,0.0549,0.0428,12.269,0.027,40.2,12.265,0.028,38.5,9.714,0.059,18.4,7.906,0.328,3.3
786,0.400285,39.981326,1006,0318342+4725300,49.6425,47.42503,6377,2010.925,48.8,10,4.2,4977,7789,49.6426056,47.4251152,0.0354,0.0346,12.104,0.023,47.1,11.953,0.022,50.1,8.195,0.022,49.7,5.333,0.034,32.1
787,0.244602,-9.567654,1007,NGC1289,49.7075,-1.97331,2835,2005.839,65.2,5,9.0,2698,5468,49.7074887,-1.973243,0.0373,0.0349,10.234,0.022,48.4,10.247,0.02,53.7,9.478,0.043,25.5,8.093,0.25,4.3
789,0.328845,83.778063,1010,J0319+4138,49.86408,41.63525,7759,2015.105,37.8,10,4.4,6346,9184,49.8642015,41.6352599,0.0395,0.0385,11.79,0.024,44.7,11.78,0.023,48.2,9.088,0.033,33.2,6.645,0.076,14.2
790,1.160222,-42.555958,1011,NGC1300,49.92117,-19.41139,1568,2005.971,59.4,5,7.7,212,2936,49.9209389,-19.4111526,0.0303,0.03,9.972,0.022,48.5,9.928,0.02,54.5,6.849,0.015,71.7,5.072,0.029,37.7
791,0.814784,74.390531,1012,3C84,49.95038,41.51167,5264,2004.299,54.7,36,5.5,3874,6666,49.9506711,41.5117309,0.0291,0.0277,9.072,0.023,47.3,8.066,0.019,56.2,4.061,0.014,78.5,1.152,0.015,74.7
792,0.67804,86.682201,1014,NGC1275,49.95042,41.51172,5264,2016.366,40.3,2,25.6,3961,6578,49.9506711,41.5117309,0.0291,0.0277,9.072,0.023,47.3,8.066,0.019,56.2,4.061,0.014,78.5,1.152,0.015,74.7
793,5.84678,107.334814,1017,NGC1302,49.96162,-26.06006,1703,2009.108,48.8,5,6.2,345,3073,49.9633458,-26.0605439,0.034,0.0328,9.351,0.023,47.9,9.343,0.02,54.7,8.67,0.023,47.9,7.383,0.08,13.6
794,0.252891,-23.338487,1018,NGC1277,49.96458,41.57353,4982,2006.077,55.9,5,7.7,3595,6382,49.9645428,41.5735945,0.0375,0.0351,10.126,0.023,46.7,10.167,0.02,54.3,9.3,0.037,29.3,7.694,0.183,5.9
795,0.195344,101.372668,1020,J0319+4200,49.97654,42.01464,4670,2015.105,38.2,10,4.1,3286,6067,49.9766116,42.0146293,0.0364,0.0349,11.387,0.023,47.8,11.327,0.021,52.1,8.671,0.025,42.7,6.822,0.078,14.0
796,0.786424,92.203618,1021,SDSSJ03201+4021,50.02617,40.36639,14090,2016.205,32.4,10,3.2,12711,15482,50.0264565,40.3663816,0.0536,0.0488,13.061,0.03,36.2,12.74,0.03,36.6,9.646,0.051,21.5,7.279,0.176,6.2
798,0.597611,133.84885,1023,NGC1301,50.14725,-18.71533,4008,2005.971,57.2,5,8.0,2630,5399,50.1473764,-18.715445,0.035,0.0337,11.457,0.023,46.4,11.438,0.021,51.2,8.234,0.02,54.1,6.167,0.047,23.0
799,0.388769,40.677147,1024,032045-010241,50.18917,-1.04478,6419,2010.2,42.3,10,3.7,5019,7832,50.1892404,-1.0446981,0.0358,0.0332,10.782,0.022,49.4,10.803,0.02,54.3,8.877,0.03,35.6,7.628,0.174,6.2
801,0.104083,-158.499123,1026,CGCG441-008NED0,50.38883,13.54869,8548,2010.124,29.2,10,2.7,7128,9981,50.3888191,13.5486631,0.039,0.0372,11.666,0.024,45.4,11.609,0.022,50.0,9.119,0.036,30.6,6.892,0.089,12.3
803,0.142084,130.820816,1028,UGC02696,50.52137,42.17206,5453,2004.036,38.8,32,2.1,5101,7915,50.5214103,42.1720342,0.0371,0.036,11.752,0.023,47.5,11.677,0.022,50.3,8.771,0.027,40.4,6.924,0.108,10.1
804,2.135253,2.412815,1029,NGC1309,50.52746,-15.40056,2135,2008.307,51.3,5,6.5,773,3509,50.5274859,-15.3999674,0.0389,0.0376,10.746,0.024,44.8,10.697,0.022,49.4,8.015,0.028,38.3,5.875,0.066,16.5
805,0.079389,54.837656,1030,J0322+4011,50.60267,40.18886,7825,2015.041,47.4,10,4.9,6412,9251,50.6026936,40.1888727,0.0477,0.0479,14.012,0.026,41.0,13.17,0.028,39.4,9.496,0.044,24.8,6.718,0.086,12.7
806,0.489668,51.861738,1031,SDSSJ03225-0103,50.64925,-1.05225,12258,2016.202,47.3,10,4.9,10895,13634,50.649357,-1.052166,0.0356,0.0345,12.118,0.023,47.5,11.697,0.023,48.1,8.065,0.021,51.9,5.58,0.035,30.8
811,0.504808,-128.13975,1036,032329-062944,50.8735,-6.49558,10192,2006.186,38.1,10,3.5,8757,11640,50.873389,-6.4956666,0.0563,0.0425,12.685,0.03,36.3,12.487,0.031,34.8,8.691,0.035,31.0,6.05,0.085,12.8
812,4.345298,158.288767,1037,NGC1319,50.98458,-21.52694,4058,2008.175,47.3,5,6.5,2679,5449,50.98506,-21.5280614,0.0415,0.0482,10.962,0.025,43.3,11.028,0.026,42.5,9.442,0.038,28.8,7.389,0.121,9.0
813,0.858186,11.61921,1038,NGC1326,50.985,-36.46472,1360,2011.144,56.0,10,5.4,5,2727,50.9850597,-36.4644865,0.0273,0.0263,8.553,0.02,53.3,8.476,0.019,58.2,5.291,0.013,81.6,2.823,0.018,59.9
816,1.602756,-135.070697,1041,J0324+4207,51.19821,42.12072,8934,2015.041,47.3,10,4.8,7511,10370,51.1977861,42.1204048,0.0642,0.0638,14.2,0.029,37.8,14.169,0.045,24.3,11.413,0.218,5.0,8.324,,1.6
817,0.340343,-178.34183,1060,MCG-02-09-040,51.27063,-12.30797,4495,2005.832,47.5,48,2.1,4133,6929,51.2706272,-12.3080645,0.0294,0.0288,10.532,0.023,47.3,9.905,0.02,54.9,6.171,0.014,76.0,3.536,0.023,46.8
818,0.472669,-91.658496,1061,MRK609,51.35583,-6.14389,10339,2012.103,72.5,10,7.2,8903,11788,51.355698,-6.1438938,0.0303,0.0292,10.135,0.023,48.2,9.572,0.019,55.9,5.978,0.016,69.4,3.692,0.022,48.5
819,0.327939,-38.389838,1062,UGC2724,51.35663,40.77314,14318,2009.038,36.2,15,2.7,12845,15805,51.3565553,40.7732114,0.0483,0.0476,13.227,0.026,41.7,13.133,0.029,37.8,9.777,0.047,23.1,7.623,0.14,7.7
821,0.040655,-28.759416,1064,NGC1329,51.51079,-17.5915,4277,2005.971,58.1,5,8.4,2896,5670,51.5107843,-17.5914901,0.0359,0.0342,10.664,0.023,47.9,10.709,0.02,54.9,8.904,0.03,36.5,6.956,0.087,12.4
822,0.151689,67.683458,1065,0326087+2548415,51.53617,25.81158,8358,2011.094,32.4,10,3.0,6940,9789,51.5362133,25.811596,0.0604,0.0607,14.02,0.028,39.3,13.839,0.042,25.9,10.307,0.077,14.0,8.034,0.249,4.4
823,2.477481,-20.761774,1066,NGC1332,51.57204,-21.33581,1524,2008.175,49.1,5,6.4,168,2892,51.5717781,-21.3351665,0.0314,0.0308,8.221,0.023,47.5,8.246,0.02,53.2,7.251,0.016,68.7,6.033,0.044,24.6
824,0.869302,-107.124088,1067,0326264+2905523,51.61017,29.09792,12610,2011.066,29.4,10,2.5,11153,14081,51.6099059,29.0978489,0.0365,0.0365,12.705,0.076,14.2,12.357,0.024,45.3,7.981,0.02,53.3,5.307,0.037,29.2
825,0.472057,54.792368,1068,0326481+2440086,51.70033,24.66911,11502,2011.094,31.3,10,2.9,10055,12962,51.7004479,24.6691856,0.0503,0.0495,13.449,0.026,41.1,13.188,0.031,34.7,9.227,0.038,28.4,6.97,0.11,9.9
826,2.908654,70.755912,1069,IC-1928,51.87079,-21.56028,4266,2008.175,48.9,5,6.9,2885,5659,51.8716102,-21.5600137,0.0369,0.0343,10.766,0.022,49.6,10.806,0.02,54.1,9.742,0.04,27.0,8.488,0.252,4.3
827,0.096366,-173.571637,1070,3C88,51.97583,2.56169,9060,2004.297,40.3,28,2.3,7635,10497,51.975827,2.5616634,0.0391,0.0369,11.441,0.022,48.7,11.44,0.022,49.1,9.736,0.046,23.6,7.239,0.11,9.8
828,0.170234,62.137126,1071,J033009-053118,52.53967,-5.52169,4175,2013.391,54.1,5,8.0,2795,5567,52.539712,-5.5216679,0.0367,0.0363,12.152,0.023,47.3,12.096,0.023,47.5,8.34,0.023,46.8,6.173,0.055,19.9
829,1.167932,92.243496,1072,NGC1346,52.555,-5.54331,4059,2016.202,52.9,9,6.1,2766,5363,52.5553257,-5.5433227,0.0292,0.0285,10.355,0.023,48.2,10.1,0.02,54.5,5.877,0.014,79.8,3.916,0.023,47.9
830,3.224173,158.485117,1073,033025+001625,52.60542,-5.54331,11092,2006.183,46.2,10,4.2,9649,12549,52.60575,-5.5441432,0.2534,0.2642,16.627,0.089,12.2,16.262,0.211,5.2,12.56,,0.1,9.008,,-2.1
832,0.107457,11.006539,1075,SDSSJ033033.46-,52.63942,-1.16919,18065,2014.055,53.1,10,5.5,16556,19588,52.6394257,-1.1691607,0.0616,0.0614,14.076,0.028,38.6,13.937,0.041,26.5,11.352,0.205,5.3,8.396,,1.2
833,0.973052,94.115902,1076,MRK612,52.67012,-3.13775,6100,2003.269,31.6,30,1.8,4703,7510,52.67039,-3.1377694,0.0309,0.0298,10.814,0.022,48.8,10.249,0.02,53.9,6.573,0.015,70.2,3.958,0.025,44.3
835,0.596907,-147.345616,1078,HS0328+0528,52.7175,5.64056,13790,2011.2,33.6,22,34.7,12322,15272,52.7174101,5.6404204,0.0325,0.0311,11.501,0.023,46.6,10.337,0.021,51.8,6.643,0.017,64.5,3.813,0.023,47.4
836,0.955375,-163.383806,1079,033100+010008,52.75275,1.00244,14989,2008.28,37.2,10,3.3,13509,16482,52.7526741,1.0021857,0.0728,0.0895,14.082,0.037,29.4,13.953,0.053,20.6,10.978,0.164,6.6,8.066,,1.0
837,1.268708,-9.286426,1080,NGC1350,52.78371,-33.62867,1905,2011.144,51.3,10,5.2,546,3277,52.7836417,-33.6283222,0.0326,0.0313,9.039,0.022,49.3,9.081,0.018,58.9,8.512,0.023,46.9,7.165,0.075,14.4
838,0.156096,30.914628,1081,NGC1352,52.88742,-19.27844,4368,2005.971,57.7,5,8.0,2986,5762,52.8874436,-19.2784028,0.0395,0.0363,11.055,0.022,48.5,11.169,0.021,51.3,10.668,0.089,12.2,8.235,,2.0
839,0.419763,-120.969152,1082,J033241-011100,53.17146,-1.18361,9135,2014.082,64.6,7,7.8,7710,10573,53.17136,-1.18367,0.0395,0.0392,12.653,0.024,44.7,12.513,0.025,44.1,8.654,0.026,42.5,6.525,0.07,15.5
840,0.904774,-13.285434,1083,NPM1G-14.0176,53.2825,-13.90944,11700,2016.355,58.0,4,9.0,10342,13071,53.2824405,-13.9091954,0.0371,0.0361,12.011,0.024,45.2,11.54,0.022,48.9,8.619,0.025,42.9,6.369,0.062,17.4
841,4.101482,-36.274133,1084,NGC1357,53.32171,-13.66503,2009,2008.307,49.9,5,6.6,649,3381,53.3210163,-13.6641115,0.0334,0.0309,10.044,0.021,52.2,10.05,0.02,55.6,8.54,0.023,48.0,6.461,0.057,19.0
842,0.579836,163.584408,1087,ESO-548-G35,53.37221,-18.14672,4303,2005.971,57.1,5,7.9,2922,5696,53.3722579,-18.1468745,0.0396,0.0384,12.464,0.023,47.2,12.435,0.024,44.5,8.855,0.029,38.0,6.483,0.069,15.7
843,0.774495,35.977319,1089,NGC1365,53.40154,-36.14036,1636,2011.144,54.4,35,2.9,279,3005,53.4016965,-36.1401859,0.0276,0.0265,7.683,0.021,50.9,6.924,0.019,58.1,3.031,0.014,76.8,-0.383,0.014,77.3
844,0.398504,-116.910122,1092,NGC1358,53.41542,-5.08942,4021,2005.839,66.2,5,9.1,3883,6675,53.4153209,-5.0894701,0.0336,0.0324,10.029,0.022,48.5,10.034,0.02,54.7,8.363,0.023,48.2,5.512,0.041,26.5
