cntr_01,dist_x,pang_x,count2019_01,sourcename_01,ra_01,dec_01,vsys_01,lum_01,class_01,ra,dec,sigra,sigdec,w1mpro,w1sigmpro,w1snr,w2mpro,w2sigmpro,w2snr,w3mpro,w3sigmpro,w3snr,w4mpro,w4sigmpro,w4snr
94,0.456268,71.459674,94,NGC_3614,169.5888,45.74822,2333.0,3.0,-999,169.5889722,45.7482603,0.044,0.0425,12.175,0.024,44.6,12.209,0.025,44.1,9.583,0.045,24.3,7.317,0.145,7.5
96,1.2781,-167.945937,96,NGC_3735,173.9888,70.53584,2696.0,20.0,-999,173.9885775,70.5354928,0.0278,0.0286,9.679,0.022,49.3,9.398,0.019,56.6,5.401,0.014,75.6,2.852,0.021,51.8
97,0.357753,46.185919,97,CGCG_068-013,174.5334,11.19639,10707.0,92.0,-999,174.5334731,11.1964588,0.0322,0.0314,11.6,0.022,49.3,11.378,0.021,52.9,7.361,0.017,62.5,5.315,0.036,29.8
98,0.09257,91.782866,98,NGC_3783,174.7571,-37.73861,2917.0,22.0,-999,174.7571325,-37.7386108,0.0285,0.0286,8.38,0.022,48.3,7.375,0.019,55.8,4.19,0.015,73.9,1.545,0.014,76.2
99,0.257639,-15.085948,99,CGCG_268-089,177.4404,50.52694,7924.0,149.0,-999,177.4403707,50.5270091,0.0337,0.0341,11.793,0.023,46.4,11.462,0.021,50.7,8.12,0.019,56.0,5.465,0.034,32.0
100,0.908519,127.234001,100,IC_750,179.7175,42.72253,704.0,-999.0,-999,179.7177735,42.7223773,0.0275,0.0275,8.859,0.022,49.3,8.476,0.02,54.1,4.479,0.013,84.4,1.799,0.015,70.5
102,1.772253,178.888877,102,J1202+3519,180.5193,35.32169,10201.0,520.0,-999,180.5193117,35.3211978,0.0444,0.0737,12.497,0.036,30.4,12.318,0.036,29.8,9.519,0.052,20.8,7.246,0.182,6.0
103,0.558163,35.832566,103,UGC_7016,180.5999,14.84364,7271.0,22.0,-999,180.5999939,14.8437657,0.032,0.0307,10.572,0.023,47.4,10.398,0.02,54.4,6.948,0.017,62.7,4.763,0.028,38.6
104,0.304291,165.14423,104,NGC_4051,180.79,44.53139,700.0,2.0,-999,180.7900304,44.5313083,0.029,0.0283,8.871,0.023,48.2,7.966,0.02,55.3,4.576,0.015,71.8,2.162,0.016,68.5
105,0.248837,-73.786379,105,NGC_4151,182.6358,39.40583,995.0,0.6,-999,182.6357141,39.4058493,0.0276,0.0266,6.745,0.049,22.0,5.927,0.037,29.4,3.208,0.01,105.8,0.751,0.019,57.8
106,1.73852,141.511452,106,NGC_4194,183.5396,54.52694,2501.0,12.0,-999,183.5401179,54.526562,0.0286,0.0295,9.211,0.022,48.3,8.583,0.02,54.2,4.119,0.015,72.8,0.957,0.018,61.1
107,5.267873,157.560134,107,NGC_4214,183.9133,36.32778,-999.0,0.03,2,183.9139933,36.3264275,0.0321,0.0337,11.561,0.028,38.8,11.073,0.023,47.9,6.36,0.014,76.6,2.619,0.021,50.9
108,0.298155,-14.996724,108,NGC_4253,184.6105,29.81286,3876.0,9.0,-999,184.6104753,29.81294,0.0286,0.0293,9.42,0.023,46.7,8.512,0.02,54.9,5.002,0.014,74.9,2.133,0.02,55.4
109,0.443614,-4.766468,109,NGC_4258,184.7396,47.30389,448.0,80.0,1,184.7395849,47.3040128,0.0301,0.0302,8.53,0.023,47.4,8.19,0.02,53.9,5.482,0.015,70.8,3.328,0.02,53.2
110,1.290597,174.586084,110,NGC_4261,184.8467,5.825278,2238.0,-999.0,-999,184.846734,5.8249211,0.0327,0.0317,8.722,0.023,47.3,8.752,0.019,56.4,7.697,0.02,55.3,5.573,0.044,24.9
111,1.409767,-77.643495,111,NGC_4293,185.3038,18.3825,890.0,1.0,-999,185.3033969,18.3825838,0.0295,0.0282,9.712,0.022,49.9,9.19,0.02,55.3,5.926,0.014,77.6,2.987,0.021,50.6
112,1.128043,101.860144,112,NGC_4388,186.4446,12.66222,2524.0,12.0,1,186.4449143,12.6621556,0.028,0.0281,9.044,0.022,49.3,8.031,0.019,56.9,4.61,0.015,74.3,1.516,0.016,68.8
113,0.943418,-20.226495,113,NGC_4527,188.5354,2.653805,1736.0,4.0,-999,188.5353093,2.6540509,0.0285,0.0279,8.278,0.021,52.5,8.003,0.02,53.5,4.223,0.015,72.1,1.897,0.016,69.2
114,1.592354,-97.377877,114,NGC_4633,190.6558,14.35722,291.0,0.06,-999,190.6553472,14.3571632,0.0491,0.0495,13.323,0.028,39.2,12.972,0.029,37.2,9.167,0.037,29.3,5.981,0.053,20.6
115,1.246011,13.954184,115,J1255-0804,193.9994,-8.076,4003.0,226.0,-999,193.9994843,-8.0756641,0.0327,0.0326,10.846,0.022,48.5,10.757,0.02,54.7,8.194,0.022,49.8,5.415,0.036,30.0
116,0.330839,122.886957,116,ESO_269-G012,194.1687,-46.92611,4950.0,1000.0,11,194.168813,-46.9261599,0.035,0.0339,10.894,0.022,49.5,10.923,0.02,53.6,9.077,0.026,42.1,6.443,0.056,19.4
117,0.828927,118.39542,117,NGC_4922,195.355,29.31389,7056.0,200.0,-999,195.3552323,29.3137805,0.0287,0.0281,10.67,0.021,51.5,9.415,0.02,53.7,5.351,0.015,73.6,2.192,0.014,76.0
118,1.163318,-25.567901,118,NGC_4945,196.3646,-49.46833,560.0,50.0,12,196.3643854,-49.4680385,0.027,0.0254,7.768,0.023,48.0,6.498,0.02,55.1,2.622,0.011,102.1,-0.189,0.017,65.4
119,1.194184,-27.848619,119,NGC_4968,196.7749,-23.67703,2957.0,53.0,-999,196.7747308,-23.6767367,0.0287,0.0286,9.993,0.022,49.8,9.102,0.02,53.5,5.105,0.014,78.0,2.41,0.022,49.5
120,0.414885,-90.944663,120,NGC_5077,199.8821,-12.65694,2806.0,-999.0,-999,199.8819819,-12.6569419,0.0322,0.0312,9.172,0.021,50.8,9.216,0.019,56.4,8.437,0.021,51.8,6.645,0.065,16.8
121,0.306599,126.200218,121,NGC_5128,201.365,-43.01917,547.0,-999.0,-999,201.365094,-43.0192203,0.0263,0.0252,5.262,0.051,21.1,4.757,0.041,26.4,2.621,0.012,89.4,0.279,0.015,71.3
